player_tag,player_name,clan_tag,clan_name,location_id,location_name,cards,card_names,trophies,clan_score,avg_hp,avg_damage,avg_elixir,total_hp,total_damage
2R8R2LCG0,StormBird,G980VVPJ,NoGraveNoWin,57000000,Europe,"[26000063, 26000035, 26000018, 26000103, 26000067, 26000048, 28000007, 28000026]","['Electro Dragon', 'Lumberjack', 'Mini P.E.K.K.A', 'Boss Bandit', 'Elixir Golem', 'Night Witch', 'Lightning', 'Vines']",10551,101644,1367.8333333333333,613.5,4.333333333333333,8207.0,3681.0
8L2Y8GPJU,⭐️Racerface⭐️,G980VVPJ,NoGraveNoWin,57000000,Europe,"[28000017, 27000006, 26000000, 28000009, 27000013, 26000010, 26000095, 26000102]","['Giant Snowball', 'Tesla', 'Knight', 'Poison', 'Goblin Drill', 'Skeletons', 'Goblin Demolisher', 'Berserker']",10395,101644,960.6,297.2,2.8,4803.0,1486.0
2CGVLQY0,<c4>Traya<c4>,G980VVPJ,NoGraveNoWin,57000000,Europe,"[27000006, 26000001, 26000010, 26000084, 26000000, 28000000, 27000008, 28000011]","['Tesla', 'Archers', 'Skeletons', 'Electro Spirit', 'Knight', 'Fireball', 'X-Bow', 'The Log']",10375,101644,1051.857142857143,275.14285714285717,3.2857142857142856,7363.0,1926.0
R0RLL2P0,franco,G980VVPJ,NoGraveNoWin,57000000,Europe,"[26000037, 26000007, 26000069, 26000003, 28000000, 26000041, 28000010, 28000001]","['Inferno Dragon', 'Witch', 'Skeleton King', 'Giant', 'Fireball', 'Goblin Gang', 'Graveyard', 'Arrows']",10355,101644,1417.7142857142858,552.2857142857143,4.142857142857143,9924.0,3866.0
9CLCCVVR0,King❤️Skillit,G980VVPJ,NoGraveNoWin,57000000,Europe,"[26000015, 26000045, 26000074, 26000018, 28000026, 28000012, 26000052, 26000009]","['Baby Dragon', 'Executioner', 'Golden Knight', 'Mini P.E.K.K.A', 'Vines', 'Tornado', 'Zappies', 'Golem']",10315,101644,2086.0,493.0,4.666666666666667,12516.0,2958.0
98UVV0,AgraelV,G980VVPJ,NoGraveNoWin,57000000,Europe,"[26000007, 27000010, 26000018, 26000003, 28000000, 26000039, 26000042, 28000008]","['Witch', 'Furnace', 'Mini P.E.K.K.A', 'Giant', 'Fireball', 'Mega Minion', 'Electro Wizard', 'Zap']",10314,101644,1388.625,367.125,3.875,11109.0,2937.0
2LYL90PC,Emil 04,G980VVPJ,NoGraveNoWin,57000000,Europe,"[26000059, 26000050, 26000018, 26000028, 26000044, 26000038, 28000015, 28000016]","['Royal Hogs', 'Royal Ghost', 'Mini P.E.K.K.A', 'Three Musketeers', 'Hunter', 'Ice Golem', 'Barbarian Barrel', 'Heal Spirit']",10342,101644,1166.4285714285713,579.1428571428571,4.142857142857143,8165.0,4054.0
8RLVGGGQY,gatrock,G980VVPJ,NoGraveNoWin,57000000,Europe,"[26000063, 26000055, 26000103, 28000025, 28000008, 28000001, 28000004, 26000064]","['Electro Dragon', 'Mega Knight', 'Boss Bandit', 'Spirit Empress', 'Zap', 'Arrows', 'Goblin Barrel', 'Firecracker']",10258,101644,1361.2,345.8,4.0,6806.0,1729.0
9JY9GUJQ,Trymacs,G980VVPJ,NoGraveNoWin,57000000,Europe,"[26000015, 26000063, 26000035, 28000001, 26000018, 26000009, 28000012, 28000015]","['Baby Dragon', 'Electro Dragon', 'Lumberjack', 'Arrows', 'Mini P.E.K.K.A', 'Golem', 'Tornado', 'Barbarian Barrel']",10242,101644,1654.875,382.875,4.125,13239.0,3063.0
JLV89V2G,合Preshaar™️,G980VVPJ,NoGraveNoWin,57000000,Europe,"[26000015, 26000011, 26000068, 26000018, 26000009, 26000080, 28000026, 27000007]","['Baby Dragon', 'Valkyrie', 'Battle Healer', 'Mini P.E.K.K.A', 'Golem', 'Skeleton Dragons', 'Vines', 'Elixir Collector']",10210,101644,2585.0,386.8,5.2,12925.0,1934.0
28Q8VJ9Q8,EvilDark,LJVGL98P,Soaring Arrow,57000000,Europe,"[26000056, 26000011, 26000030, 26000040, 26000041, 26000028, 28000001, 27000000]","['Skeleton Barrel', 'Valkyrie', 'Ice Spirit', 'Dart Goblin', 'Goblin Gang', 'Three Musketeers', 'Arrows', 'Cannon']",10300,101502,854.125,381.375,3.625,6833.0,3051.0
YPJ20GY2R,Mikaboshi,LJVGL98P,Soaring Arrow,57000000,Europe,"[26000050, 26000045, 26000103, 28000026, 26000051, 28000017, 26000084, 26000027]","['Royal Ghost', 'Executioner', 'Boss Bandit', 'Vines', 'Ram Rider', 'Giant Snowball', 'Electro Spirit', 'Dark Prince']",10285,101502,1157.0,682.4,3.8,5785.0,3412.0
U02V8V9CG,xze,LJVGL98P,Soaring Arrow,57000000,Europe,"[26000064, 27000000, 26000065, 28000011, 26000021, 28000014, 26000030, 26000010]","['Firecracker', 'Cannon', 'Mighty Miner', 'The Log', 'Hog Rider', 'Earthquake', 'Ice Spirit', 'Skeletons']",10240,101502,690.1666666666666,452.8333333333333,2.3333333333333335,4141.0,2717.0
GR8LPCL,isaksoder,LJVGL98P,Soaring Arrow,57000000,Europe,"[26000064, 27000000, 26000065, 26000010, 26000084, 26000021, 28000014, 28000011]","['Firecracker', 'Cannon', 'Mighty Miner', 'Skeletons', 'Electro Spirit', 'Hog Rider', 'Earthquake', 'The Log']",10214,101502,767.2,514.4,2.6,3836.0,2572.0
GCC200JU,D4mon,LJVGL98P,Soaring Arrow,57000000,Europe,"[26000015, 26000011, 26000029, 28000026, 28000000, 26000039, 27000009, 26000006]","['Baby Dragon', 'Valkyrie', 'Lava Hound', 'Vines', 'Fireball', 'Mega Minion', 'Tombstone', 'Balloon']",10211,101502,1946.4285714285713,377.57142857142856,4.285714285714286,13625.0,2643.0
C0LVPJUUQ,Vickelitor,LJVGL98P,Soaring Arrow,57000000,Europe,"[26000050, 26000056, 27000003, 26000026, 26000040, 26000011, 26000021, 28000001]","['Royal Ghost', 'Skeleton Barrel', 'Inferno Tower', 'Princess', 'Dart Goblin', 'Valkyrie', 'Hog Rider', 'Arrows']",10211,101502,1314.25,265.625,3.5,10514.0,2125.0
8YQPU228V,Muhammed 6767,LJVGL98P,Soaring Arrow,57000000,Europe,"[26000035, 26000055, 26000006, 26000004, 26000013, 26000042, 26000045, 28000008]","['Lumberjack', 'Mega Knight', 'Balloon', 'P.E.K.K.A', 'Bomber', 'Electro Wizard', 'Executioner', 'Zap']",10210,101502,2161.875,605.0,4.625,17295.0,4840.0
LLPYR2C9,Montuz 03,LJVGL98P,Soaring Arrow,57000000,Europe,"[26000050, 26000007, 26000018, 26000102, 28000007, 26000101, 26000097, 28000001]","['Royal Ghost', 'Witch', 'Mini P.E.K.K.A', 'Berserker', 'Lightning', 'Rune Giant', 'Suspicious Bush', 'Arrows']",10187,101502,902.8,687.8,4.2,4514.0,3439.0
2Q28LJP29,lanzer,LJVGL98P,Soaring Arrow,57000000,Europe,"[26000055, 26000007, 26000006, 26000035, 27000006, 26000041, 26000014, 28000000]","['Mega Knight', 'Witch', 'Balloon', 'Lumberjack', 'Tesla', 'Goblin Gang', 'Musketeer', 'Fireball']",10181,101502,1761.125,488.125,4.5,14089.0,3905.0
9UR02G2Y8,Melwin,LJVGL98P,Soaring Arrow,57000000,Europe,"[26000056, 27000002, 26000103, 26000018, 26000042, 26000041, 28000000, 28000001]","['Skeleton Barrel', 'Mortar', 'Boss Bandit', 'Mini P.E.K.K.A', 'Electro Wizard', 'Goblin Gang', 'Fireball', 'Arrows']",10180,101502,1001.5714285714286,456.0,3.5714285714285716,7011.0,3192.0
P0R098V9L,adrian,GVP2P2UR,FC Fata,57000000,Europe,"[27000012, 26000015, 28000007, 26000000, 28000015, 26000034, 28000012, 26000085]","['Goblin Cage', 'Baby Dragon', 'Lightning', 'Knight', 'Barbarian Barrel', 'Bowler', 'Tornado', 'Electro Giant']",10526,101281,921.4285714285714,397.0,3.857142857142857,6450.0,2779.0
2Q8UY8CQ8,DAGY2A,GVP2P2UR,FC Fata,57000000,Europe,"[26000007, 28000017, 26000018, 26000003, 28000010, 26000034, 28000026, 26000005]","['Witch', 'Giant Snowball', 'Mini P.E.K.K.A', 'Giant', 'Graveyard', 'Bowler', 'Vines', 'Minions']",10323,101281,1652.5714285714287,630.1428571428571,4.142857142857143,11568.0,4411.0
LYVV9PLYU,⚡️Prime Wyze⚡️,GVP2P2UR,FC Fata,57000000,Europe,"[26000015, 26000011, 26000018, 26000009, 26000068, 28000026, 26000052, 27000007]","['Baby Dragon', 'Valkyrie', 'Mini P.E.K.K.A', 'Golem', 'Battle Healer', 'Vines', 'Zappies', 'Elixir Collector']",10321,101281,2271.1666666666665,378.3333333333333,5.0,13627.0,2270.0
LJRRQQQPR,<c5>WA<c2>ZIX,GVP2P2UR,FC Fata,57000000,Europe,"[26000047, 26000045, 26000074, 28000015, 27000012, 26000059, 26000057, 28000001]","['Royal Recruits', 'Executioner', 'Golden Knight', 'Barbarian Barrel', 'Goblin Cage', 'Royal Hogs', 'Flying Machine', 'Arrows']",10240,101281,538.7142857142857,398.7142857142857,4.285714285714286,3771.0,2791.0
P0RPGQUUV,SkYoTiX,GVP2P2UR,FC Fata,57000000,Europe,"[27000006, 28000004, 26000041, 26000040, 26000030, 28000011, 26000056, 26000011]","['Tesla', 'Goblin Barrel', 'Goblin Gang', 'Dart Goblin', 'Ice Spirit', 'The Log', 'Skeleton Barrel', 'Valkyrie']",10210,101281,810.5,336.75,2.875,6484.0,2694.0
UG9Q0VGU0,Fata,GVP2P2UR,FC Fata,57000000,Europe,"[26000011, 26000012, 28000004, 28000001, 26000032, 26000026, 27000003, 26000022]","['Valkyrie', 'Skeleton Army', 'Goblin Barrel', 'Arrows', 'Miner', 'Princess', 'Inferno Tower', 'Minion Horde']",10181,101281,948.0,523.25,3.625,7584.0,4186.0
YVUQC9Y,Trazz,GVP2P2UR,FC Fata,57000000,Europe,"[26000010, 26000014, 26000032, 28000017, 28000015, 26000038, 26000006, 27000004]","['Skeletons', 'Musketeer', 'Miner', 'Giant Snowball', 'Barbarian Barrel', 'Ice Golem', 'Balloon', 'Bomb Tower']",10148,101281,1034.25,387.25,2.875,8274.0,3098.0
